state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
CW,2020-12-06,"499,446",71.28,"700,712","105,256",15.09,"64,744",75.98,"85,210"
AZ,2020-12-06,"10,117",74.46,"13,587","3,076",22.67,"1,440",70.88,"2,031"
CT,2020-12-06,"5,779",71.08,"8,130","1,361",16.74,610,55.21,"1,104"
DC,2020-12-06,"2,330",81.38,"2,863",229,8.0,266,78.24,340
ID,2020-12-06,"1,724",55.54,"3,104",437,14.08,203,71.73,283
IN,2020-12-06,"10,969",66.54,"16,486","3,193",19.37,"1,704",78.02,"2,184"
LA,2020-12-06,"8,419",67.06,"12,555","1,259",10.21,"1,344",74.92,"1,794"
MD,2020-12-06,"7,715",80.05,"9,638","1,864",19.34,"1,023",78.94,"1,296"
AK,2020-12-06,874,60.32,"1,449",163,11.25,82,64.57,127
AL,2020-12-06,"10,369",73.33,"14,140","2,021",14.29,"1,282",87.54,"1,465"
AR,2020-12-06,"5,112",69.18,"7,389","1,060",14.35,787,78.94,997
CA,2020-12-06,"45,863",74.61,"61,468","10,922",17.77,"5,834",79.59,"7,331"
CO,2020-12-06,"6,566",64.51,"10,179","1,743",17.12,"1,022",68.96,"1,482"
DE,2020-12-06,"1,702",67.54,"2,520",379,15.04,147,81.67,180
FL,2020-12-06,"38,994",75.85,"51,406","4,890",9.68,"4,861",77.89,"6,241"
GA,2020-12-06,"14,907",78.8,"18,918","2,830",14.96,"2,276",86.13,"2,642"
HI,2020-12-06,"1,644",66.97,"2,455",49,2.0,132,59.73,221
IA,2020-12-06,"4,626",58.01,"7,973",901,11.45,485,71.01,683
IL,2020-12-06,"19,513",66.76,"29,227","5,358",18.33,"2,461",66.62,"3,695"
KS,2020-12-06,"4,481",57.69,"7,768","1,154",14.85,657,82.54,796
KY,2020-12-06,"8,153",68.69,"11,869","1,718",14.48,"1,167",74.86,"1,559"
MA,2020-12-06,"11,283",71.1,"15,869","1,378",8.68,"1,026",63.41,"1,618"
ME,2020-12-06,"1,871",65.24,"2,868",212,7.41,229,73.16,313
MI,2020-12-06,"16,170",75.69,"21,363","4,082",19.11,"2,198",81.87,"2,684"
MN,2020-12-06,"6,995",71.68,"9,758","1,776",18.2,718,75.18,955
MS,2020-12-06,"4,838",61.31,"7,891","1,136",14.4,678,81.1,836
MT,2020-12-06,"1,835",64.21,"2,858",391,13.68,164,73.54,223
ND,2020-12-06,"1,480",73.3,"2,019",377,18.67,140,95.24,147
NJ,2020-12-06,"14,429",74.51,"19,366","3,455",17.84,"1,569",67.37,"2,329"
NV,2020-12-06,"5,889",79.82,"7,378","1,777",24.65,793,86.76,914
NY,2020-12-06,"33,514",71.34,"46,976","5,421",11.54,"3,440",57.49,"5,984"
OK,2020-12-06,"6,184",66.74,"9,266","1,601",17.54,951,89.55,"1,062"
PA,2020-12-06,"23,872",73.8,"32,347","6,175",19.29,"3,242",79.67,"4,070"
SC,2020-12-06,"7,455",77.25,"9,651","1,058",10.96,991,78.34,"1,265"
TN,2020-12-06,"11,920",72.55,"16,431","2,656",16.66,"1,826",83.99,"2,174"
UT,2020-12-06,"2,850",54.66,"5,213",577,11.07,462,73.8,626
VA,2020-12-06,"11,010",64.54,"17,058","1,818",10.65,"1,357",66.68,"2,035"
MO,2020-12-06,"10,632",77.32,"13,750","2,510",18.25,"1,505",85.61,"1,758"
NC,2020-12-06,"15,712",73.91,"21,257","2,519",11.92,"1,946",80.18,"2,427"
NE,2020-12-06,"3,046",65.2,"4,672",778,16.93,395,69.79,566
NH,2020-12-06,"1,857",67.02,"2,771",204,7.34,170,60.28,282
NM,2020-12-06,"2,777",73.68,"3,769",864,22.91,422,103.55,408
OH,2020-12-06,"19,933",67.98,"29,324","5,367",18.34,"3,146",77.6,"4,055"
OR,2020-12-06,"4,595",72.39,"6,348",676,10.65,499,65.14,766
RI,2020-12-06,"1,726",84.2,"2,050",448,21.85,144,86.23,167
SD,2020-12-06,"1,393",59.15,"2,355",462,19.62,163,71.81,227
TX,2020-12-06,"45,436",72.78,"62,427","9,215",14.8,"6,268",87.97,"7,126"
VT,2020-12-06,626,53.37,"1,173",24,2.05,57,54.81,104
WA,2020-12-06,"8,209",65.51,"12,530","1,095",8.74,901,69.41,"1,298"
WI,2020-12-06,"7,795",62.92,"12,389","1,744",14.39,"1,004",62.83,"1,598"
WV,2020-12-06,"3,644",71.99,"5,062",647,12.78,494,79.68,620
WY,2020-12-06,614,43.9,"1,399",210,15.09,62,50.54,122
